model_name,method,average_method,best_params,loocv_accuracy,loocv_precision_macro,loocv_recall_macro,loocv_f1_macro,loocv_predictions,label
LogisticRegression,pca_precomputed,macro,"{'classifier__C': 0.1, 'classifier__solver': 'liblinear'}",0.72,0.7,0.7083333333333333,0.7028862478777589,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",LogisticRegression - pca_precomputed
PolySVC,pca_precomputed,macro,"{'classifier__C': 10, 'classifier__degree': 3}",0.72,0.6964285714285714,0.671875,0.6783088235294117,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",PolySVC - pca_precomputed
RBFSVC,pca_precomputed,macro,"{'classifier__C': 10, 'classifier__gamma': 'scale'}",0.72,0.7124999999999999,0.6475694444444444,0.6527777777777778,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert']",RBFSVC - pca_precomputed
PolySVC,pca_live,macro,"{'classifier__C': 10, 'classifier__degree': 3, 'pca__n_components': 0.95}",0.7,0.6729055258467023,0.6684027777777778,0.6703296703296704,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert']",PolySVC - pca_live
RBFSVC,pca_live,macro,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'pca__n_components': 0.95}",0.7,0.6729055258467023,0.6684027777777778,0.6703296703296704,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",RBFSVC - pca_live
LogisticRegression,pca_live,macro,"{'classifier__C': 0.1, 'classifier__solver': 'liblinear', 'pca__n_components': 0.95}",0.68,0.6527777777777778,0.6527777777777778,0.6527777777777778,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",LogisticRegression - pca_live
RandomForest,pca_precomputed,macro,"{'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.66,0.6205821205821206,0.6006944444444444,0.6026180458158018,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert']",RandomForest - pca_precomputed
RBFSVC,rfe,macro,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'feature_selection__n_features_to_select': 80}",0.66,0.6188811188811189,0.5885416666666666,0.587178241864983,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert']",RBFSVC - rfe
RandomForest,rfe,macro,"{'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'feature_selection__n_features_to_select': 80}",0.64,0.6029411764705883,0.5972222222222222,0.5989304812834224,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",RandomForest - rfe
LinearSVC,select_k_best,macro,"{'classifier__C': 0.1, 'feature_selection__k': 60}",0.64,0.6166666666666667,0.6215277777777778,0.6179966044142615,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert']",LinearSVC - select_k_best
