model_name,method,average_method,best_params,loocv_accuracy,loocv_precision_weighted,loocv_recall_weighted,loocv_f1_weighted,loocv_predictions,label
RBFSVC,pca_live,weighted,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'pca__n_components': 0.95}",0.76,0.755735294117647,0.76,0.7565775401069519,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",RBFSVC - pca_live
LinearSVC,select_k_best,weighted,"{'classifier__C': 0.1, 'feature_selection__k': 60}",0.74,0.7434974533106962,0.74,0.7414500214500214,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",LinearSVC - select_k_best
PolySVC,pca_live,weighted,"{'classifier__C': 10, 'classifier__degree': 3, 'pca__n_components': 0.95}",0.72,0.7144117647058823,0.72,0.7160071301247772,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",PolySVC - pca_live
LinearSVC,pca_precomputed,weighted,{'classifier__C': 0.1},0.72,0.728,0.72,0.7228522920203736,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",LinearSVC - pca_precomputed
LogisticRegression,select_k_best,weighted,"{'classifier__C': 1, 'classifier__solver': 'saga', 'feature_selection__k': 60}",0.72,0.728,0.72,0.7228522920203736,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",LogisticRegression - select_k_best
RandomForest,select_k_best,weighted,"{'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'feature_selection__k': 80}",0.72,0.728,0.72,0.7228522920203736,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert']",RandomForest - select_k_best
LogisticRegression,pca_precomputed,weighted,"{'classifier__C': 0.1, 'classifier__solver': 'liblinear'}",0.7,0.7133004926108374,0.7,0.7041614123581337,"['non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",LogisticRegression - pca_precomputed
RBFSVC,pca_precomputed,weighted,"{'classifier__C': 10, 'classifier__gamma': 'scale'}",0.7,0.6926829268292682,0.7,0.6684931506849315,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert']",RBFSVC - pca_precomputed
RBFSVC,rfe,weighted,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'feature_selection__n_features_to_select': 80}",0.7,0.6926829268292682,0.7,0.6684931506849315,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",RBFSVC - rfe
PolySVC,pca_precomputed,weighted,"{'classifier__C': 10, 'classifier__degree': 3}",0.68,0.6730882352941177,0.68,0.6754367201426025,"['non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'expert', 'expert', 'non-expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'non-expert', 'expert', 'expert', 'non-expert', 'non-expert', 'non-expert', 'expert', 'expert', 'expert', 'non-expert', 'expert']",PolySVC - pca_precomputed
